7 13 8
4.0        6.0        8.0        9.0        10.0       11.0       12.0       15.0      
3.39004    3.12382    3.34276    3.43707    3.23860    3.19679    3.16078    3.22993   
3.41834    3.18522    3.39931    3.43068    3.17801    3.21436    3.12190    3.16670   
3.40709    3.16545    3.33349    3.30454    3.11813    3.33994    3.11237    3.09518   
3.38622    3.26364    3.43974    3.30385    3.33097    3.46831    3.19928    3.21437   
3.14406    3.66358    3.58027    3.56873    3.44864    3.26930    3.18272    3.33128   
2.82295    3.78304    3.49177    3.64590    3.41652    3.14507    3.11798    3.35396   
2.65108    3.40409    3.07615    3.41690    3.51582    3.35101    3.31560    3.44195   
2.77051    3.17898    2.93976    3.01395    3.52421    3.38046    3.46934    3.39251   
2.82435    2.93998    3.02282    2.84017    3.26725    3.28893    3.32288    3.35683   
2.84923    2.61543    2.88488    2.89148    2.99315    3.17774    3.30879    3.27456   
2.92820    2.80145    2.72387    2.78335    2.87749    3.04979    3.23182    3.24402   
2.97143    2.82815    2.60438    2.72277    2.92386    3.05334    3.12257    3.21714   
2.91443    2.65633    2.67820    2.85819    3.08737    3.05693    3.11910    3.23042   
3.26779    3.19482    3.06418    2.97572    3.09658    3.07567    3.00623    3.13025   
3.20316    3.24374    2.83605    2.75496    3.05204    3.15065    2.98475    3.06134   
3.25120    3.25934    2.66015    2.64161    3.15145    3.35950    3.07536    3.13091   
3.26771    3.10686    2.80473    2.85894    3.27494    3.42975    3.20219    3.34978   
3.02740    3.11899    3.33853    3.32936    3.38544    3.45860    3.24441    3.38245   
2.86106    3.43931    3.52291    3.49729    3.58049    3.62625    3.46147    3.28112   
2.79962    3.39858    3.40481    3.35650    3.56478    3.54223    3.56874    3.30798   
2.70922    3.15487    3.38276    3.32082    3.29417    3.30867    3.33216    3.36831   
2.78995    3.09333    3.44353    3.34406    3.26568    3.31269    3.31402    3.44450   
2.94743    2.99843    3.17355    3.26114    3.26301    3.23466    3.31221    3.34234   
2.96602    2.88783    2.99015    3.18615    3.14373    3.11032    3.27643    3.33641   
2.99488    3.01292    2.91503    3.09484    3.09857    3.16014    3.29054    3.41761   
3.02838    2.97750    2.72486    2.88311    3.06146    3.24024    3.26472    3.30700   
2.84375    3.04594    2.52154    2.44787    2.88868    2.95606    2.90335    3.01264   
2.79785    3.06201    2.45416    2.46748    3.14232    3.26940    3.00972    3.13558   
3.06277    3.09499    2.64678    2.78417    3.33934    3.39654    3.27692    3.39595   
3.24805    2.98552    2.87112    3.00599    3.26955    3.30232    3.42913    3.44959   
3.12290    2.75096    2.83065    2.86048    3.24059    3.23530    3.49527    3.45046   
2.78718    2.60859    2.83624    2.98004    3.22342    3.37476    3.42155    3.20562   
2.42426    2.40436    2.90898    2.88029    2.94862    3.08098    3.09621    2.95688   
2.32986    2.45367    3.28705    3.06846    2.89473    3.01187    3.20235    3.33066   
2.63917    2.93172    3.59096    3.37959    3.25066    3.27211    3.29021    3.56609   
3.25690    3.23129    3.41486    3.31862    3.29679    3.25649    3.31146    3.47391   
3.17050    3.17088    3.30752    3.32706    3.30636    3.15343    3.32152    3.33921   
3.09407    3.19151    3.38545    3.48753    3.43869    3.19957    3.35710    3.45198   
3.04574    3.26581    3.30264    3.49688    3.40615    3.33787    3.35036    3.48484   
2.45997    2.85409    2.44443    2.43663    3.10209    3.22966    2.99946    3.22155   
2.31384    3.03226    2.88596    3.00395    3.45994    3.42478    3.46005    3.52770   
2.61013    2.86571    3.32419    3.40966    3.43527    3.31952    3.60819    3.53324   
2.98276    2.84753    3.08490    2.91953    3.19979    3.08386    3.32471    3.27157   
3.09373    2.90658    2.82064    2.52401    2.87784    2.82053    3.03612    3.05479   
2.90504    2.65841    2.61967    2.48575    2.66896    2.87140    3.06011    3.05110   
2.50927    2.34994    2.30989    2.65062    2.52787    2.98238    3.08598    3.20131   
2.42604    2.29004    2.43200    2.84084    2.60885    2.88681    3.16545    3.42687   
2.93999    2.51948    3.12695    3.18754    3.17503    3.18074    3.24194    3.45068   
3.11339    2.74875    3.11524    3.03234    3.18647    3.17231    3.16505    3.27359   
2.88684    2.98582    3.06339    2.87811    3.10859    3.09139    3.21099    3.22957   
3.06189    3.13896    3.31766    3.24927    3.35653    3.09877    3.30653    3.25426   
3.09917    3.40498    3.65753    3.59729    3.49537    3.34061    3.36214    3.44746   
2.01164    2.94149    3.40324    3.47636    3.57935    3.47551    3.68167    3.62008   
1.94223    2.54770    3.75577    3.84511    3.57385    3.37276    3.73945    3.56487   
2.04194    2.31149    3.31797    3.22294    3.37473    3.21615    3.42596    3.22426   
2.68126    2.62686    2.74752    2.79187    3.12290    3.12713    3.00033    3.05656   
3.29536    3.19861    3.01623    2.72543    3.01170    2.91092    3.11033    3.15572   
3.25499    2.89649    2.75537    2.58904    2.95423    2.86570    3.07065    3.25395   
2.76244    2.38077    2.37160    2.66998    2.71827    2.94375    3.14863    3.36388   
2.56362    2.35501    2.49964    2.94119    2.71731    3.01608    3.21625    3.34132   
2.84263    2.50202    2.95931    3.15953    3.12874    3.14877    3.15868    3.23289   
2.91780    2.45585    2.80744    2.96455    3.12297    3.10418    2.95341    3.06128   
2.30334    2.33183    2.52745    2.45394    2.91571    3.03556    2.83843    2.99679   
2.07119    2.86961    2.94782    2.86274    2.96332    3.01616    3.03627    3.26685   
2.52527    3.24454    3.42783    3.31905    3.17644    3.12859    3.20821    3.41818   
1.90394    3.65357    3.66165    3.96321    3.61205    3.59139    3.73614    3.63109   
1.88037    3.40227    3.65026    3.86026    3.66801    3.69823    3.67453    3.57869   
2.01073    3.29595    3.49481    3.66266    3.75378    3.76076    3.55526    3.46014   
2.65976    3.24328    3.45356    3.53540    3.62692    3.56445    3.54750    3.36150   
3.31311    3.34247    3.32593    3.23086    3.42515    3.26954    3.48622    3.42290   
3.17154    3.05620    3.06007    3.11267    3.45172    3.25617    3.38308    3.46061   
2.90006    2.83717    2.56519    2.90140    3.26719    3.19429    3.31402    3.29312   
2.65249    2.69365    2.38873    2.90357    3.01545    3.19285    3.28661    3.13855   
2.67411    2.76131    2.94743    3.20360    3.21046    3.23672    3.24172    3.37369   
2.81705    2.66784    2.97565    3.11657    3.15723    3.16395    3.13066    3.29680   
2.35587    2.46375    2.98728    2.97965    2.90236    3.10531    2.98441    3.26467   
2.12050    2.65003    2.89155    3.15854    2.84143    2.99098    2.96500    3.44322   
2.46345    3.10055    2.81422    3.07134    3.01354    3.01857    3.21435    3.36527   
4.01707    4.00374    2.71891    3.13653    3.04462    3.29047    3.13912    3.26144   
3.71109    3.98277    3.07969    3.41287    3.23321    3.54367    3.15152    3.50704   
3.33049    3.88847    3.21216    3.59381    3.32629    3.59385    3.07809    3.54099   
3.24375    3.85086    3.17210    3.55347    3.39730    3.50678    3.11109    3.52946   
3.04064    3.73928    3.11508    3.28580    3.33527    3.28244    3.23798    3.45950   
2.99816    3.29828    3.44780    3.33877    3.42966    3.29988    3.35313    3.42561   
2.98959    3.19136    3.58525    3.36386    3.52582    3.39025    3.37369    3.34785   
2.96479    3.27661    3.35653    3.22325    3.36662    3.39168    3.36345    3.31273   
2.79058    2.96820    3.10162    3.15745    3.18840    3.26363    3.32225    3.50884   
2.62194    2.35203    3.04723    3.00277    3.08605    3.10709    3.24360    3.50182   
2.53568    2.60841    3.05686    3.19416    3.08677    3.17348    3.30839    3.53799   
2.60565    2.38174    2.68341    3.05240    3.05223    3.08550    3.18794    3.47611   
2.77941    2.44494    2.50808    2.76195    2.83423    3.03848    3.19622    3.39203   
0.81952    0.87018    0.75421    0.73959    0.88769    0.79326    0.64080    0.70678   
